Number of Elements,Element Size,Main Query Size,Main Reply Size,Size Gal Keys
4,10240,92866,185405,415481
8,10240,92920,185548,415558
16,10240,92860,185615,553700
32,10240,92860,185415,553424
64,10240,92991,185340,691999
128,10240,92844,185527,691725
256,10240,92910,185431,829831
512,10240,92921,185383,830006
1024,10240,92931,185400,967917
2048,10240,92854,185455,968070
4096,10240,92956,185466,1106459
8192,10240,92792,185590,1106295
16384,10240,92962,185461,1244246
32768,10240,93028,185465,1244270
65536,10240,92886,185400,1382229
131072,10240,92800,185350,1382398
